ID,Area,Step,Payload / Input,Expected,Actual,Pass/Fail,Notes
UAT-001,Schema,Check non-draft applications missing current_stage_id,"SQL: select count(*) from applications where coalesce(is_draft,false)=false and current_stage_id is null;",0 rows missing,,,
UAT-002,Schema,Check application_channel backfill,"SQL: select application_channel,count(*) from applications group by 1;",Channels populated with no unexpected null-heavy state,,,
UAT-003,Schema,Check match_reason_signals backfill,"SQL: select count(*) from job_match_notifications where coalesce(jsonb_array_length(match_reason_signals),0)=0;",0 for current and recent notifications,,,
UAT-010,Posting,Recruiter posts professional internship,"POST /api/jobs with jobType=internship internshipTrack=professional applyIntakeMode=native",201 or 200 and job created with metadata saved,,,
UAT-011,Posting,Recruiter without active plan attempts posting,Recruiter account without active recruiter subscription,403 with posting plan error,,,
UAT-012,Posting,Admin posts educational internship for recruiter,"POST /api/admin/jobs/create with internshipTrack=education and recruiterId=<Recruiter A>",200 and recruiter assigned and approved if requested,,,
UAT-013,Posting,Non-admin attempts on-behalf posting,"POST /api/jobs with recruiterId != current user",403,,,
UAT-014,Posting,Educational internship enforces talent-only eligible roles,"jobType=internship internshipTrack=education eligibleRoles includes job_seeker",400 validation error,,,
UAT-020,Eligibility,Talent eligibility preview for educational internship,"POST /api/jobs/[id]/eligibility-preview with matching school field year and convention inputs",200 and eligibilityStatus=eligible,,,
UAT-021,Eligibility,Job seeker blocked from education internship,"POST /api/jobs/[id]/eligibility-preview as job_seeker for talent-only educational internship",Preview contains blockingReasons or final submit later blocked,,,
UAT-022,Eligibility,Professional internship preview with missing portfolio,"POST preview for portfolio-required professional internship without portfolio",needs_review or blocking reason depending config,,,
UAT-023,Eligibility,Preview returns actionable gaps,"Missing school year or resume or portfolio",missingProfileFields and recommendedProfileUpdates populated,,,
UAT-030,Apply,Job seeker submits final application,"POST /api/applications with jobId contactInfo professionalDetails profileReadiness resumeUrl coverLetter answers applicationChannel=native_apply",201 with application and eligibilityPreview,,,
UAT-031,Apply,Talent submits educational internship application,"POST /api/applications with educationDetails and profileReadiness",201 with candidate_snapshot saved,,,
UAT-032,Apply,Duplicate application blocked,"Repeat POST /api/applications for same user and job",400 You have already applied to this job,,,
UAT-033,Apply,Ineligible final application blocked,"POST /api/applications for wrong role or failing eligibility constraints",422 with eligibilityPreview,,,
UAT-034,Apply,Draft upgrade reuses existing draft,"POST /api/applications with draftApplicationId for existing draft",200 or 201 and no duplicate row created,,,
UAT-035,Apply,Stored ATS intake fields verified,"Inspect created application row",application_channel eligibility_status and candidate_snapshot present,,,
