ID,Area,Step,Payload / Input,Expected,Actual,Pass/Fail,Notes
CRIT-010,Posting,Recruiter posts professional internship,"POST /api/jobs with internshipTrack=professional and applyIntakeMode=native",201 or 200 and job created with metadata saved,,,
CRIT-012,Posting,Admin posts educational internship for recruiter,"POST /api/admin/jobs/create with internshipTrack=education and recruiterId=<Recruiter A>",200 and recruiter assigned and approved if requested,,,
CRIT-020,Eligibility,Talent eligibility preview for educational internship,"POST /api/jobs/[id]/eligibility-preview with matching school field year and convention inputs",200 and eligibilityStatus=eligible,,,
CRIT-030,Apply,Job seeker submits final application,"POST /api/applications with professional internship payload",201 with application and eligibilityPreview,,,
CRIT-040,Pipeline,Recruiter loads job pipeline,GET /api/jobs/[id]/pipeline,200 with pipeline and requirements,,,
CRIT-050,ATS,Move application to next stage,"POST /api/applications/[id]/stage with stageKey=interview",200 with fromStage toStage and legacyStatus,,,
CRIT-051,ATS,Submit stage feedback,"POST /api/applications/[id]/feedback with score recommendation and summary",201 and overall_stage_score updated,,,
CRIT-052,ATS,Record hired decision,"POST /api/applications/[id]/decision with decisionStatus=hired",200 and terminal stage reached,,,
CRIT-060,Matching,Immediate match dispatch on approved publish,"Publish approved job with at least one subscribed candidate match",Matching summary created and notifications attempted,,,
CRIT-070,Cron,Hourly match cron authorized run,"GET /api/cron/job-match-dispatch?limit=10&lookbackHours=24 with Authorization: Bearer <CRON_SECRET>",200 and ok=true and failures=0,,,
CRIT-080,Analytics,Recruiter dashboard shows source channel comparison,"Open /dashboard/recruiter after activity exists",Source Channel Comparison visible and non-empty,,,
CRIT-082,Analytics,Admin dashboard shows opportunity type comparison,"Open /admin after mixed opportunity activity exists",Opportunity Type Comparison visible,,,
CRIT-100,Security,Recruiter B cannot edit Recruiter A job,"Attempt job update or pipeline update on foreign job",403,,,
CRIT-102,Security,Wrong role cannot apply to education internship,"Job seeker applies to talent-only educational internship",422 or blocked preview,,,
CRIT-110,End-to-End,Educational internship full flow,"Post educational internship -> Talent applies -> Recruiter reviews -> Decision",All steps complete successfully,,,
CRIT-111,End-to-End,Professional internship full flow,"Post professional internship -> Job seeker applies -> ATS stages -> Hire or reject",All steps complete successfully,,,
CRIT-112,End-to-End,Immediate match notification flow,"Publish approved job with matching subscribed user",Notification insights and analytics visible,,,
CRIT-120,Signoff,Go-live gate,"Review critical path rows only",All critical path rows pass before go-live,,,
